iter	Passed	Remaining
0	143	143468
1	145	72607
2	147	48982
3	149	37143
4	150	30003
5	152	25302
6	154	21957
7	156	19404
8	159	17537
9	160	15926
10	162	14612
11	164	13518
12	166	12606
13	167	11831
14	169	11150
15	172	10582
16	174	10087
17	176	9645
18	179	9247
19	181	8874
20	183	8537
21	185	8262
22	187	7976
23	189	7724
24	192	7515
25	195	7313
26	197	7111
27	199	6929
28	201	6751
29	203	6578
30	205	6430
31	207	6291
32	210	6158
33	211	6018
34	213	5893
35	215	5778
36	218	5675
37	220	5574
38	222	5475
39	224	5381
40	226	5296
41	228	5210
42	230	5126
43	232	5049
44	234	4967
45	235	4891
46	237	4819
47	239	4744
48	240	4667
49	242	4600
50	243	4534
51	244	4465
52	246	4403
53	248	4348
54	250	4297
55	251	4245
56	253	4196
57	255	4154
58	257	4114
59	259	4073
60	262	4040
61	264	4008
62	266	3965
63	267	3918
64	269	3875
65	271	3835
66	272	3796
67	274	3758
68	276	3725
69	278	3693
70	279	3660
71	281	3630
72	283	3598
73	284	3566
74	286	3536
75	288	3512
76	290	3481
77	292	3453
78	294	3429
79	296	3404
80	297	3378
81	299	3354
82	301	3326
83	303	3308
84	305	3284
85	307	3263
86	308	3242
87	310	3222
88	312	3196
89	313	3168
90	315	3151
91	317	3133
92	319	3115
93	321	3095
94	323	3078
95	325	3060
96	326	3042
97	328	3020
98	330	3004
99	332	2988
100	334	2975
101	335	2957
102	338	2944
103	339	2928
104	342	2917
105	344	2907
106	346	2894
107	349	2883
108	350	2868
109	353	2856
110	355	2845
111	357	2836
112	359	2824
113	361	2812
114	364	2801
115	366	2790
116	368	2778
117	369	2764
118	371	2750
119	372	2734
120	375	2727
121	377	2715
122	379	2702
123	380	2690
124	382	2680
125	384	2667
126	385	2652
127	387	2640
128	389	2629
129	390	2614
130	392	2602
131	393	2589
132	395	2580
133	397	2571
134	399	2562
135	401	2553
136	404	2545
137	405	2535
138	407	2524
139	408	2511
140	410	2500
141	411	2486
142	412	2474
143	414	2462
144	415	2451
145	417	2441
146	419	2433
147	420	2423
148	422	2411
149	423	2400
150	424	2388
151	426	2379
152	428	2369
153	429	2358
154	430	2348
155	432	2338
156	434	2331
157	435	2322
158	437	2313
159	439	2305
160	440	2295
161	442	2289
162	444	2281
163	445	2273
164	448	2269
165	450	2261
166	451	2252
167	452	2243
168	454	2235
169	456	2227
170	457	2217
171	458	2208
172	460	2200
173	462	2194
174	464	2187
175	465	2179
176	466	2171
177	468	2163
178	470	2159
179	472	2152
180	473	2143
181	475	2135
182	476	2128
183	478	2121
184	479	2112
185	480	2103
186	482	2095
187	483	2088
188	485	2081
189	486	2073
190	487	2066
191	489	2059
192	490	2051
193	492	2046
194	494	2039
195	495	2033
196	497	2025
197	498	2017
198	499	2010
199	501	2005
200	502	1999
201	504	1994
202	506	1988
203	508	1982
204	509	1975
205	511	1969
206	512	1962
207	513	1955
208	515	1951
209	516	1944
210	518	1938
211	519	1932
212	521	1926
213	523	1921
214	524	1915
215	526	1909
216	527	1902
217	528	1897
218	531	1893
219	532	1889
220	534	1883
221	536	1878
222	537	1873
223	539	1868
224	540	1861
225	541	1855
226	543	1849
227	544	1844
228	546	1838
229	547	1833
230	549	1828
231	550	1823
232	552	1819
233	554	1814
234	555	1809
235	557	1804
236	558	1798
237	560	1796
238	562	1790
239	563	1785
240	565	1780
241	567	1777
242	569	1773
243	571	1769
244	572	1764
245	573	1758
246	575	1754
247	576	1749
248	578	1743
249	579	1738
250	580	1732
251	582	1728
252	583	1723
253	585	1718
254	586	1713
255	587	1708
256	589	1703
257	590	1699
258	592	1695
259	593	1690
260	595	1685
261	596	1680
262	598	1677
263	600	1672
264	601	1667
265	602	1662
266	604	1658
267	605	1655
268	607	1650
269	608	1646
270	610	1642
271	612	1638
272	613	1634
273	615	1630
274	616	1625
275	618	1621
276	619	1617
277	621	1614
278	623	1610
279	624	1606
280	626	1603
281	628	1599
282	629	1595
283	631	1591
284	632	1587
285	634	1584
286	636	1580
287	637	1576
288	638	1572
289	640	1568
290	642	1566
291	644	1563
292	646	1559
293	648	1556
294	650	1554
295	652	1551
296	654	1548
297	655	1545
298	657	1542
299	659	1538
300	660	1534
301	662	1530
302	663	1526
303	665	1522
304	666	1518
305	668	1515
306	669	1512
307	671	1508
308	672	1504
309	674	1501
310	675	1497
311	677	1493
312	679	1490
313	680	1487
314	682	1483
315	683	1479
316	685	1476
317	686	1472
318	688	1468
319	689	1465
320	691	1462
321	692	1458
322	694	1455
323	696	1452
324	697	1448
325	698	1444
326	700	1441
327	702	1439
328	704	1436
329	705	1432
330	707	1429
331	710	1428
332	711	1425
333	713	1421
334	714	1418
335	716	1415
336	718	1413
337	720	1410
338	721	1407
339	723	1405
340	726	1403
341	727	1400
342	729	1397
343	731	1394
344	733	1392
345	734	1388
346	735	1384
347	737	1381
348	738	1378
349	740	1374
350	741	1371
351	743	1368
352	744	1364
353	746	1361
354	748	1359
355	750	1357
356	752	1354
357	754	1352
358	756	1350
359	758	1347
360	760	1345
361	762	1343
362	764	1340
363	765	1337
364	766	1334
365	768	1331
366	770	1329
367	772	1325
368	773	1322
369	774	1319
370	777	1317
371	778	1314
372	780	1311
373	781	1307
374	782	1304
375	784	1302
376	786	1299
377	788	1297
378	789	1294
379	792	1292
380	793	1289
381	795	1286
382	798	1285
383	800	1283
384	801	1280
385	803	1277
386	805	1275
387	807	1273
388	808	1270
389	811	1268
390	813	1267
391	815	1265
392	817	1262
393	818	1259
394	821	1258
395	823	1255
396	825	1253
397	826	1250
398	828	1247
399	830	1245
400	831	1242
401	833	1240
402	835	1238
403	838	1236
404	839	1233
405	841	1231
406	843	1229
407	845	1226
408	846	1223
409	848	1220
410	850	1218
411	852	1216
412	854	1214
413	856	1211
414	858	1210
415	860	1207
416	861	1204
417	863	1201
418	865	1200
419	868	1199
420	870	1196
421	872	1194
422	873	1192
423	875	1189
424	877	1186
425	879	1185
426	881	1183
427	883	1180
428	884	1177
429	886	1175
430	888	1173
431	890	1170
432	892	1168
433	894	1165
434	896	1163
435	897	1161
436	899	1158
437	902	1158
438	904	1155
439	906	1153
440	907	1150
441	909	1148
442	911	1145
443	912	1142
444	914	1140
445	916	1137
446	918	1135
447	919	1133
448	921	1130
449	923	1128
450	924	1125
451	926	1123
452	928	1120
453	929	1118
454	932	1116
455	933	1113
456	934	1110
457	936	1108
458	938	1105
459	940	1103
460	941	1101
461	943	1098
462	944	1095
463	947	1094
464	948	1091
465	950	1088
466	951	1086
467	953	1084
468	955	1081
469	957	1079
470	958	1076
471	960	1074
472	962	1072
473	963	1069
474	965	1066
475	966	1064
476	969	1063
477	972	1061
478	974	1060
479	976	1058
480	978	1055
481	980	1053
482	981	1050
483	983	1048
484	985	1046
485	986	1043
486	987	1040
487	989	1038
488	991	1036
489	993	1034
490	995	1031
491	996	1029
492	998	1027
493	1000	1024
494	1001	1022
495	1002	1019
496	1004	1016
497	1006	1014
498	1008	1012
499	1009	1009
500	1010	1006
501	1012	1004
502	1014	1002
503	1015	999
504	1017	997
505	1018	994
506	1019	991
507	1022	989
508	1023	987
509	1024	984
510	1026	982
511	1029	980
512	1030	978
513	1032	976
514	1034	973
515	1036	972
516	1038	969
517	1039	967
518	1041	965
519	1043	962
520	1044	960
521	1046	958
522	1047	955
523	1048	952
524	1050	950
525	1052	948
526	1054	946
527	1055	943
528	1057	941
529	1058	939
530	1060	936
531	1061	934
532	1063	931
533	1065	930
534	1067	928
535	1069	925
536	1072	924
537	1074	922
538	1076	920
539	1077	918
540	1079	915
541	1081	913
542	1083	911
543	1084	909
544	1086	907
545	1088	905
546	1089	902
547	1091	900
548	1092	897
549	1094	895
550	1095	892
551	1097	890
552	1098	888
553	1100	885
554	1101	883
555	1103	881
556	1105	878
557	1106	876
558	1107	874
559	1109	872
560	1111	870
561	1113	867
562	1114	865
563	1115	862
564	1117	860
565	1119	858
566	1120	855
567	1121	853
568	1123	850
569	1125	848
570	1126	846
571	1128	844
572	1129	841
573	1131	839
574	1132	837
575	1134	834
576	1135	832
577	1136	830
578	1138	827
579	1140	825
580	1141	823
581	1143	821
582	1144	818
583	1146	816
584	1148	814
585	1149	812
586	1150	809
587	1152	807
588	1154	805
589	1156	803
590	1157	801
591	1159	798
592	1160	796
593	1162	794
594	1164	792
595	1165	790
596	1167	788
597	1168	785
598	1170	783
599	1172	781
600	1173	779
601	1175	777
602	1177	775
603	1178	772
604	1180	770
605	1181	768
606	1183	765
607	1185	764
608	1186	762
609	1188	759
610	1189	757
611	1191	755
612	1193	753
613	1194	751
614	1196	748
615	1197	746
616	1199	744
617	1201	742
618	1202	740
619	1204	738
620	1205	735
621	1207	733
622	1209	731
623	1210	729
624	1212	727
625	1214	725
626	1216	723
627	1217	721
628	1218	718
629	1220	716
630	1222	715
631	1224	712
632	1225	710
633	1227	708
634	1228	706
635	1230	704
636	1231	701
637	1233	699
638	1234	697
639	1235	695
640	1237	693
641	1239	691
642	1240	688
643	1241	686
644	1243	684
645	1245	682
646	1246	680
647	1248	678
648	1249	675
649	1251	673
650	1253	671
651	1254	669
652	1256	667
653	1257	665
654	1259	663
655	1261	661
656	1262	659
657	1263	656
658	1265	654
659	1267	652
660	1269	650
661	1270	648
662	1272	646
663	1274	645
664	1276	643
665	1278	641
666	1280	639
667	1282	637
668	1284	635
669	1285	633
670	1287	631
671	1289	629
672	1290	627
673	1292	625
674	1293	622
675	1295	620
676	1297	619
677	1299	617
678	1300	614
679	1302	612
680	1304	611
681	1306	609
682	1308	607
683	1309	605
684	1312	603
685	1313	601
686	1315	599
687	1316	597
688	1318	595
689	1320	593
690	1321	591
691	1323	588
692	1324	586
693	1327	585
694	1328	583
695	1330	580
696	1331	578
697	1333	576
698	1335	575
699	1337	573
700	1338	570
701	1340	568
702	1342	567
703	1344	565
704	1345	563
705	1347	561
706	1349	559
707	1351	557
708	1352	555
709	1354	553
710	1356	551
711	1357	549
712	1359	547
713	1361	545
714	1363	543
715	1365	541
716	1366	539
717	1368	537
718	1369	535
719	1372	533
720	1374	531
